dacc,ddelta,dtheta,pos_x,pos_y,yaw_angle,v_x,v_y,omega,acc,delta,theta
1.300960424,2.513693677,2.234220677,1.541221139,0.226562861,26.57027768,2.245400943,0.044651197,1.494019444,0.236027454,0.173902234,2.49964631
0.281865898,2.812746643,2.226292464,1.54750421,0.300854031,26.64181458,2.226404013,0.026956607,2.729553176,0.245422984,0.267660455,2.57385606
0.725760138,0.743178686,2.211405125,1.54788924,0.374619206,26.745724,2.201009412,0.000461331,3.427761313,0.269614988,0.292433078,2.64756956
0.464642959,-1.410359028,2.177600267,1.540978183,0.447224522,26.86517363,2.178199433,-0.027937823,3.673695616,0.285103087,0.24542111,2.72015624
-0.036338317,-0.890592008,2.122108531,1.526304013,0.517982458,26.98720074,2.15949131,-0.049422132,3.613441265,0.28389181,0.21573471,2.79089319
-0.812376352,-1.14609,2.043905429,1.503962345,0.586087365,27.10398712,2.142020059,-0.059344873,3.362304609,0.256812598,0.17753171,2.85902337
-1.304345132,-0.965815109,1.956548816,1.474540466,0.650814215,27.20971233,2.124111874,-0.056983605,2.961794146,0.213334427,0.145337873,2.92424167
-2.00000002,-0.582636082,1.945591448,1.438994448,0.71164027,27.30106863,2.102263509,-0.04342452,2.525693477,0.14666776,0.125916671,2.98909471
-1.997541189,-0.317677625,2.349038391,1.39850624,0.768258657,27.37913779,2.07346912,-0.025855946,2.180415621,0.080083053,0.115327416,3.06739599
-1.894221208,1.107714127,2.949012176,1.354217162,0.820492904,27.45043782,2.03407481,-0.004505789,2.175648185,0.016942346,0.152251221,3.1656964
-0.470623879,1.867234171,3.239925567,1.3067814,0.867762497,27.5290726,1.983625559,0.01307205,2.592892244,0.001254884,0.21449236,3.27369392
0.025361371,1.987169929,3.14641007,1.256534928,0.909219198,27.62489862,1.925182126,0.021855647,3.160438533,0.002100263,0.280731357,3.37857425
0.03863022,2.650409344,2.717614171,1.203850374,0.943856165,27.73898408,1.858078103,0.024838232,3.666581916,0.003387937,0.369078335,3.46916139
0.022975418,0.781680739,2.117035791,1.149432814,0.970732553,27.86730738,1.78549283,0.025350951,4.005719202,0.004153784,0.39513436,3.53972925
0.371527452,-4.867253847,0.054144276,1.094089365,0.989409943,28.00321357,1.726672893,0.01996604,4.028293839,0.016538032,0.232892565,3.54153406
0.493333704,1.109640144,0.126125092,1.038403922,1.000436034,28.13273485,1.680564505,0.022120596,3.796457648,0.032982489,0.26988057,3.54573823
-0.987391129,3.900738019,3.999837292,0.983436666,1.003696609,28.26134192,1.621699039,0.041921361,3.973301162,6.95E-05,0.399905171,3.67906614
-0.001125435,-4.126483633,2.353522709,0.930598917,0.999230374,28.39706138,1.566029333,0.047903991,4.06429597,3.19E-05,0.262355716,3.7575169
0.647706493,2.843128217,1.852710218,0.880446154,0.987922361,28.53138191,1.517245149,0.057807242,4.070753386,0.021622154,0.357126657,3.81927391
1.590463504,-1.825423019,1.696031923,0.833955371,0.970018868,28.66925694,1.476179198,0.063714225,4.14119969,0.074637604,0.296279223,3.8758083
1.824558815,-0.318022212,1.574726623,0.791274033,0.946368474,28.8046506,1.453146847,0.063366538,3.977575336,0.135456231,0.285678482,3.92829919
1.784976216,0.508676509,2.281501357,0.752627019,0.917541648,28.93581544,1.440057498,0.0681515,3.921691484,0.194955438,0.302634366,4.00434924
1.326884449,-1.212129351,2.013739652,0.718326555,0.884014908,29.06536214,1.439475262,0.064585291,3.803947255,0.23918492,0.262230054,4.07147389
1.21463228,1.769758701,1.889801767,0.688419431,0.846376227,29.19147207,1.442760352,0.0712826,3.835268862,0.279672662,0.321222011,4.13446728
